"song","artist","rank","weeks_on_board"
"I Need Someone (To Love Me)","Z.Z. Hill",41,3
"I Need To Be In Love","Carpenters",635,11
"I Need To Know","Marc Anthony",3187,40
"I Need To Know","Tom Petty And The Heartbreakers",410,10
"I Need You","America",764,10
"I Need You","Chuck Jackson",89,4
"I Need You","Euclid Beach Band",72,5
"I Need You","LeAnn Rimes",1635,25
"I Need You","Maurice White",6,1
"I Need You","Paul Carrack",497,13
"I Need You","Rick Nelson",50,4
"I Need You","The Friends Of Distinction",70,5
"I Need You","The Impressions",179,7
"I Need You","The Pointer Sisters",456,15
"I Need You","Tim McGraw With Faith Hill",543,16
"I Need You Now","100 Strings and Jono (Choir of 40 Voices)",3,1
"I Need You Now","Ronnie Dove",15,2
"I Need You Now","Smokie Norful",8,3
"I Need You So","Chuck Jackson & Maxine Brown",3,1
"I Need You Tonight","Peter Wolf",505,13
"I Need Your Help Barry Manilow","Ray Stevens",252,8
"I Need Your Love","Boston",299,10
"I Need Your Love","Calvin Harris Featuring Ellie Goulding",1625,25
"I Need Your Love","Shaggy Featuring Mohombi, Faydee, Costi",184,8
"I Need Your Love Tonight","Elvis Presley With The Jordanaires",983,13
"I Need Your Lovin'","Roy Hamilton",162,5
"I Need Your Lovin'","Teena Marie",587,14
"I Need Your Loving","Don Gardner And Dee Dee Ford",711,13
"I Need Your Loving","The Human League",433,11
"I Never Cry","Alice Cooper",1522,27
"I Never Felt Like This","Jack Scott",45,4
"I Never Knew","Clyde McPhatter",172,5
"I Never Knew Love","Doug Stone",94,9
"I Never Loved A Man (The Way I Love You)","Aretha Franklin",828,11
"I Never Said Goodbye","Engelbert Humperdinck",183,7
"I Never Said I Love You","Orsa Lia",62,5
"I Never Seen A Man Cry (aka I Seen A Man Die)","Scarface",716,17
"I Never Told You","Colbie Caillat",660,20
"I Only Have Eyes For You","Art Garfunkel",1146,18
"I Only Have Eyes For You","Jerry Butler",46,4
"I Only Have Eyes For You","The Flamingos",959,13
"I Only Have Eyes For You","The Lettermen",120,6
"I Only Wanna Be With You","Samantha Fox",599,13
"I Only Want To Be With You","Bay City Rollers",1049,16
"I Only Want To Be With You","Dusty Springfield",668,10
"I Only Want To Be With You","Nicolette Larson",283,9
"I Only Want To Be With You","The Tourists",55,4
"I Pity The Fool","Ann Peebles",51,4
"I Pity The Fool","Bobby Bland",245,7
"I Play And Sing","Dawn",506,8
"I Pledge My Love","Peaches & Herb",1001,19
"I Predict","Sparks",168,7
"I Pretend","Kim Carnes",95,5
"I Promise To Wait My Love","Martha Reeves & The Vandellas",199,7
"I Put A Spell On You","Alan Price Set",43,3
"I Put A Spell On You","Annie Lennox",4,1
"I Put A Spell On You","Creedence Clearwater Revival",237,9
"I Ran (So Far Away)","A Flock Of Seagulls",1217,22
"I Really Don't Need No Light","Jeffrey Osborne",526,15
"I Really Don't Want To Know","Little Esther Phillips",170,5
"I Really Don't Want To Know","Ronnie Dove",528,9
"I Really Don't Want To Know","Solomon Burke",22,3
"I Really Don't Want To Know","Tommy Edwards",749,13
"I Really Don't Want To Know/There Goes My Everything","Elvis Presley",638,9
"I Really Like You","Carly Rae Jepsen",554,20
"I Really Love You","Dee Dee Sharp",112,7
"I Really Love You","The Stereos",453,9
"I Received A Letter","Delbert & Glen",30,3
"I Remember","Boyz II Men",380,11
"I Remember","Keyshia Cole",1102,20
"I Remember","Maurice Williams & The Zodiacs",28,3
"I Remember","Rod Wave",24,1
"I Remember Holding You","Boys Club",1299,21
"I Remember You","Frank Ifield",797,11
"I Remember You","Skid Row",1295,20
"I Rise, I Fall","Johnny Tillotson",376,8
"I Run To You","Lady Antebellum",1080,21
"I Saw A Man And He Danced With His Wife","Cher",326,9
"I Saw God Today","George Strait",887,20
"I Saw Her Again","The Mamas & The Papas",740,9
"I Saw Her Standing There","The Beatles",739,11
"I Saw Him Standing There","Tiffany",980,14
"I Saw It Cummin'","PMD",18,3
"I Saw Linda Yesterday","Dickey Lee",835,12
"I Saw Red","Warrant",1156,19
"I Saw The Light","Todd Rundgren",893,14
"I Saw You Dancing","Yaki-Da",370,11
"I Say A Little Prayer","Aretha Franklin",830,11
"I Say A Little Prayer","Diana King",957,20
"I Say A Little Prayer","Dionne Warwick",1028,13
"I Say A Little Prayer/By The Time I Get To Phoenix","Glen Campbell/Anne Murray",82,5
"I Say Love","The Royal Guardsmen",107,4
"I Second That Emotion","Smokey Robinson & The Miracles",1185,15
"I See It Now","Tracy Lawrence",96,9
"I See The Light","The Five Americans",550,11
"I See You","Cathy & Joe",35,2
"I See You","Luke Bryan",693,19
"I See Your Smile","Gloria Estefan",579,17
"I Send A Message","INXS",121,7
"I Shall Be Released","The Box Tops",136,5
"I Shall Sing","Garfunkel",388,9
"I Shot Mr. Lee","The Bobbettes",273,8
"I Shot The Sheriff","Eric Clapton",1069,14
"I Shot The Sheriff","Warren G",1034,19
"I Should Be Laughing","Patty Smyth",32,4
"I Should Be Sleeping","Emerson Drive",752,20
"I Should Be So Lucky","Kylie Minogue",655,14
"I Should Be...","Dru Hill",896,17
"I Should Care","Gloria Lynne",148,5
"I Should Cheat On You","J'Son",187,13
"I Should Have Cheated","Keyshia Cole",956,19
"I Should Have Known Better","The Beatles",151,4
"I Should Probably Go To Bed","Dan + Shay",1215,24
"I Shoulda Loved Ya","Narada Michael Walden",117,6
"I Smile","Kirk Franklin",132,18
"I Smoke, I Drank","Body Head Bangerz Featuring YoungBloodz",191,15
"I Sold My Heart To The Junkman","The Blue-Belles",696,11
"I Spy (For The FBI)","Jamo Thomas & His Party Brothers Orchestra",4,2
"I Stand Accused","Isaac Hayes",442,9
"I Stand Accused","Jerry Butler",181,6
"I Stand Accused (Of Loving You)","The Glories",92,5
"I Started A Joke","Bee Gees",850,11
"I Started Loving You Again","Al Martino",48,5
"I Still Believe","Brenda K. Starr",1469,26
"I Still Believe","Mariah Carey",1395,20
"I Still Believe In Tomorrow","John & Anne Ryder",124,5
"I Still Can't Get Over Loving You","Ray Parker Jr.",1154,19
"I Still Get A Thrill (Thinking Of You)","Joni James",237,7
"I Still Get Jealous","Joni James",159,6
"I Still Get Jealous","Louis Armstrong And The All Stars",313,7
"I Still Have Dreams","Richie Furay",456,11
"I Still Haven't Found What I'm Looking For","David Cook",95,2
"I Still Haven't Found What I'm Looking For","U2",1287,17
"I Still Love You","Lil Suzy",7,1
"I Still Love You","Next",1531,20
"I Still Love You","The Vejtables",60,4
"I Still Miss You","Keith Anderson",552,19
"I Still Want You","The Del Fuegos",36,4
"I Struck It Rich","Len Barry",4,2
"I Surrender","Arlan Day",150,7
"I Surrender","Fontella Bass",112,6
"I Surrender, Dear","Aretha Franklin",35,5
"I Swear","All-4-One",2578,30
"I Swear","John Michael Montgomery",675,20
"I Take A Lot Of Pride In What I Am","Dean Martin",77,4
"I Take It Back","Sandy Posey",788,12
"I Take What I Want","James & Bobby Purify",274,6
"I Talk To The Trees","Edmundo Ros and His Orchestra",83,4
"I Thank You","Donny Hathaway And June Conquest",23,5
"I Thank You","Sam & Dave",928,13
"I Thank You","ZZ Top",487,11
"I Think","Tyler, The Creator",50,1
"I Think God Can Explain","Splender",324,12
"I Think He Knows","Taylor Swift",50,1
"I Think I'm Gonna Kill Myself","Buddy Knox",172,6
"I Think I'm In Love With You","Jessica Simpson",898,16
"I Think I Can Beat Mike Tyson","D.J. Jazzy Jeff & The Fresh Prince",204,9
"I Think I Love You","The Partridge Family Starring Shirley Jones Featuring David Cassidy",1611,19
"I Think I Love You Again","Brenda Lee",7,2
"I Think It's Love","Jermaine Jackson",878,15
"I Think Of You","Perry Como",298,8
"I Think They Like Me","Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",1736,26
"I Think We're Alone Now","The Rubinoos",387,12
"I Think We're Alone Now","Tiffany",1575,24
"I Think We're Alone Now","Tommy James And The Shondells",1277,17
"I Think You'll Remember Tonight","Axe",10,2
"I Thought About Killing You","Kanye West",73,1
"I Thought It Took A Little Time (But Today I Fell In Love)","Diana Ross",260,7
"I Threw It All Away","Bob Dylan",54,5
"I Told Myself A Lie","Clyde McPhatter",72,5
"I Told The Brook","Marty Robbins",62,4
"I Told Y'all","Petey Pablo",17,3
"I Told You So","Carrie Underwood Featuring Randy Travis",839,18
"I Told You So","Jimmy Jones",32,3
"I Told You So","Keith Urban",491,16
"I Took A Pill In Ibiza","Mike Posner",2935,37
"I Touch Myself","Divinyls",1244,18
"I Tried","Bone Thugs-N-Harmony Featuring Akon",1218,18
"I Try","Macy Gray",2142,27
"I Turn To You","Christina Aguilera",1691,22
"I Turned You On","The Isley Brothers",639,10
"I Understand (Just How You Feel)","Freddie And The Dreamers",404,9
"I Understand (Just How You Feel)","The G-Clefs",1052,16
"I Waited Too Long","LaVern Baker",477,11
"I Wake Up Crying","Chuck Jackson",252,8
"I Walk Alone","Marty Robbins",185,8
"I Walk The Line","Craig Wayne Boyd",17,1
"I Walk The Line","Jaye P. Morgan",181,6
"I Wanna","The All-American Rejects",15,2
"I Wanna B With U","Fun Factory",953,20
"I Wanna Be (Your Everything)","The Manhattans",121,8
"I Wanna Be A Cowboy","Boys Don't Cry",1082,19
"I Wanna Be Around","Tony Bennett",945,16
"I Wanna Be Bad","Willa Ford",1054,20
"I Wanna Be Down","Brandy",2255,28
"I Wanna Be Free","Loretta Lynn",14,2
"I Wanna Be Loved","Dean And Jean",42,5
"I Wanna Be Loved","House Of Lords",165,7
"I Wanna Be Loved","Ricky Nelson",666,11
"I Wanna Be Rich","Calloway",1539,23
"I Wanna Be The One","Stevie B",889,20
"I Wanna Be There","Blessid Union Of Souls",980,20
"I Wanna Be Where You Are","Michael Jackson",773,11
"I Wanna Be With You","Mandy Moore",781,17
"I Wanna Be With You","Nancy Wilson",189,5
"I Wanna Be With You","Raspberries",754,11
"I Wanna Be Your Girl","Icy Blu",763,20
"I Wanna Be Your Lover","Prince",1005,16
"I Wanna Dance Wit' Choo (Doo Dat Dance), Part I","Disco Tex & The Sex-O-Lettes",606,11
"I Wanna Dance With Somebody (Who Loves Me)","Whitney Houston",1538,20
"I Wanna Do It All","Terri Clark",751,20
"I Wanna Do It To You","Jerry Butler",331,11
"I Wanna Get Back With You","Louie Louie",158,7
"I Wanna Get Next To You","Christion",41,4
"I Wanna Get Next To You","Rose Royce",1034,17
"I Wanna Get With U","Guy",544,15
"I Wanna Go","Britney Spears",1523,20
"I Wanna Go Back","Billy Satellite",79,5
"I Wanna Go Back","Eddie Money",1085,21
"I Wanna Have Some Fun","Samantha Fox",1322,23
"I Wanna Hear It From Your Lips","Eric Carmen",511,11
"I Wanna Know","Joe",3511,44
"I Wanna Know If It's Good To You?","Funkadelic",59,4
"I Wanna Know You","Hannah Montana Featuring David Archuleta",27,1
"I Wanna Know Your Name","The Intruders",307,13
"I Wanna Learn A Love Song","Harry Chapin",301,9
"I Wanna Live","Glen Campbell",547,12
"I Wanna Love Him So Bad","The Jelly Beans",776,12
"I Wanna Love Like That","Tony Thompson",434,16
"I Wanna Love You","Akon Featuring Snoop Dogg",2281,29
"I Wanna Love You (From ""Class Act"")","Jade",1303,21
"I Wanna Love You Forever","Jessica Simpson",1633,20
"I Wanna Make Love To You (From ""Innocent Blood"")","Rhythm Syndicate",137,8
"I Wanna Make You Close Your Eyes","Dierks Bentley",639,20
"I Wanna Meet You","The Cryan' Shames",57,4
"I Wanna Rock","Luke",243,14
"I Wanna Rock","Snoop Dogg",415,15
"I Wanna Rock","Twisted Sister",164,7
"I Wanna Sex You Up (From ""New Jack City"")","Color Me Badd",1640,23
"I Wanna Stay With You","Gallagher And Lyle",280,14
"I Wanna Talk About Me","Toby Keith",1073,20
"I Wanna Thank You","Bobby Rydell",539,9
"I Wanna Thank You","The Enchanters",21,3
"I Want'a Do Something Freaky To You","Leon Haywood",926,17
"I Want A New Drug","Huey Lewis & The News",1304,19
"I Want Action","Poison",306,10
"I Want Candy","Bow Wow Wow",205,7
"I Want Candy","The Strangeloves",717,10
"I Want Crazy","Hunter Hayes",1256,20
"I Want Her","Keith Sweat",1290,20
"I Want It","Juice WRLD",54,1
"I Want It All","Queen",280,10
"I Want It All","Warren G Featuring Mack 10",839,15
"I Want It That Way","Backstreet Boys",2551,31
"I Want My Baby Back","Jimmy Cross",23,3
"I Want My Girl","Jesse Johnson's Revue",133,8
"I Want Someone","The Mad Lads",117,6
"I Want To (Do Everything For You)","Joe Tex",663,13
"I Want To (Do Everything For You)","Raeletts",9,2
"I Want To Be Free","Ohio Players",313,7
"I Want To Be Happy Cha Cha","Enoch Light & The Light Brigade",259,7
"I Want To Be Happy Cha Cha","The Tommy Dorsey Orchestra Starring Warren Covington",60,3
"I Want To Be Loved","Dinah Washington",68,4
"I Want To Be Wanted","Brenda Lee",1219,15
"I Want To Be With You","Dee Dee Warwick",471,12
"I Want To Be Your Man","Roger",1357,21
"I Want To Be Your Property","Blue Mercedes",146,6
"I Want To Break Free","Queen",322,8
"I Want To Come Over","Melissa Etheridge",1285,20
"I Want To Dance With You (Dance With Me)","The Ritchie Family",52,4
"I Want To Go With You","Eddy Arnold",483,11
"I Want To Hold Your Hand","Boston Pops Orchestra Arthur Fiedler",232,6
"I Want To Hold Your Hand","Glee Cast",65,1
"I Want To Hold Your Hand","The Beatles",1402,15
"I Want To Know What Love Is","Foreigner",1604,21
"I Want To Know What Love Is","Mariah Carey",150,6
"I Want To Know What Love Is","Terry McDermott",17,1
"I Want To Live","John Denver",168,5
"I Want To Live","Josh Gracin",453,14
"I Want To Love You Baby","Peggy Scott & Jo Jo Benson",59,4
"I Want To Love You For What You Are","Ronnie Dove",190,5
"I Want To Make The World Turn Around","The Steve Miller Band",9,3
"I Want To Meet Him","The Royalettes",124,6
"I Want To Pay You Back (For Loving Me)","The Chi-lites",13,3
"I Want To Stay Here","Steve & Eydie",567,11
"I Want To Take You Higher","Ike & Tina Turner & The Ikettes",913,18
"I Want To Take You Higher","Sly & The Family Stone",661,16
"I Want To Talk About You","Ray Charles",3,1
"I Want To Walk You Home","Fats Domino",979,13
"I Want You","Animotion",55,4
"I Want You","Bob Dylan",416,7
"I Want You","Janet Jackson",277,10
"I Want You","Jody Watley",405,15
"I Want You","Juliet Roberts",499,14
"I Want You","Marvin Gaye",850,13
"I Want You","Savage Garden",2553,33
"I Want You","Shana",910,23
"I Want You","Thalia Featuring Fat Joe",995,19
"I Want You Back","'N Sync",1857,24
"I Want You Back","Jackson 5",1530,19
"I Want You Back Again","The Zombies",14,3
"I Want You So Bad","Heart",317,9
"I Want You To Be Mine","Kayak",168,6
"I Want You To Be My Baby","Ellie Greenwich",35,3
"I Want You To Be My Boy","The Exciters",3,1
"I Want You To Know","The New Colony Six",153,6
"I Want You To Know","Zedd Featuring Selena Gomez",842,16
"I Want You To Meet My Baby","Eydie Gorme",340,8
"I Want You To Want Me","Cheap Trick",1312,19
"I Want You Tonight","Pablo Cruise",982,16
"I Want You, I Need You","Chris Christian",541,14
"I Want Your Love","Chic",1151,19
"I Want Your Sex (From ""Beverly Hills Cop II"")","George Michael",1415,20
"I Was Born To Love You","Freddie Mercury",69,4
"I Was Checkin' Out She Was Checkin' In","Don Covay",475,10
"I Was Jack (You Were Diane)","Jake Owen",317,11
"I Was Kaiser Bill's Batman","Whistling Jack Smith",465,7
"I Was Looking For Someone To Love","Leif Garrett",71,5
"I Was Made For Dancin'","Leif Garrett",1357,21
"I Was Made For Lovin' You","KISS",1078,16
"I Was Made To Love Her","King Curtis & The Kingpins",113,6
"I Was Made To Love Her","Stevie Wonder",1217,15
"I Was Never There","The Weeknd Featuring Gesaffelstein",66,1
"I Was On A Boat That Day","Old Dominion",656,17
"I Was Only Joking","Rod Stewart",659,12
"I Was Such A Fool (To Fall In Love With You)","Connie Francis",469,9
"I Was Such A Fool (To Fall In Love With You)","The Flamingos",118,5
"I Was Wondering","The Poppy Family",2,2
"I Wash My Hands Of The Whole Damn Deal, Part I","The New Birth",33,3
"I Wasn't The One (Who Said Goodbye)","Agnetha Faltskog/Peter Cetera",16,3
"I Wasn't With It","Jesse Powell",101,9
"I Who Have Nothing","Jordin Sparks",21,1
"I Who Have Nothing","Liquid Smoke",56,3
"I Will","Dean Martin",694,10
"I Will","Vic Dana",340,9
"I Will Always Love You","Dolly Parton",364,14
"I Will Always Love You","Glee Cast",14,1
"I Will Always Love You","Whitney Houston",2591,29
"I Will Always Think About You","The New Colony Six",784,13
"I Will Be","Leona Lewis",162,6
"I Will Be Here For You","Michael W. Smith",909,20
"I Will Be In Love With You","Livingston Taylor",676,14
"I Will Be There","Glass Tiger",499,11
"I Will Come To You","Hanson",1331,20
"I Will Follow","U2",77,5
"I Will Follow Him","Little Peggy March",1105,14
"I Will Get There","Boyz II Men",434,9
"I Will Go With You (Con Te Partiro)","Donna Summer",160,9
"I Will Live My Life For You","Tony Bennett",79,8
"I Will Love Again","Lara Fabian",650,17
"I Will Love You","Richard Chamberlain",173,7
"I Will Never Let You Down","Rita Ora",76,6
"I Will Never Pass This Way Again","Glen Campbell",174,7
"I Will Not Bow","Breaking Benjamin",536,20
"I Will Possess Your Heart","Death Cab For Cutie",164,12
"I Will Remember You","Amy Grant",1200,20
"I Will Remember You (Live)","Sarah McLachlan",1890,40
"I Will Still Love You","Stonebolt",710,14
"I Will Survive","Chantay Savage",964,20
"I Will Survive","Gloria Gaynor",1811,27
"I Will Survive","SaFire",339,11
"I Will Wait","Mumford & Sons",2531,39
"I Will...But","SHeDAISY",759,20
"I Wish","Carl Thomas",1292,20
"I Wish","Gabrielle",472,14
"I Wish","Jo Dee Messina",80,4
"I Wish","R. Kelly",1595,22
"I Wish","Skee-Lo",1475,27
"I Wish","Stevie Wonder",1409,17
"I Wish","The Platters",288,10
"I Wish Grandpas Never Died","Riley Green",304,12
"I Wish I'd Never Been Born","Patti Page",233,7
"I Wish I Had A Girl","Henry Lee Summer",910,18
"I Wish I Knew (How It Would Feel To Be Free)","Solomon Burke",182,8
"I Wish I Was Eighteen Again","George Burns",317,10
"I Wish I Wasn't","Heather Headley",709,20
"I Wish I Were","Andy Kim",169,6
"I Wish I Were A Princess","Little Peggy March",362,7
"I Wish It Was Me","Tyrone Davis",259,9
"I Wish It Was Me You Loved","The Dells",14,2
"I Wish It Would Rain","Gladys Knight And The Pips",510,10
"I Wish It Would Rain","The Temptations",1134,14
"I Wish It Would Rain Down","Phil Collins",1158,17
"I Wish That We Were Married","Ronnie and The Hi-Lites",741,12
"I Wish The Phone Would Ring","Expose",801,15
"I Wish You'd Stay","Brad Paisley",306,10
"I Wish You Could Be Here","The Cyrkle",86,4
"I Wish You Love","Gloria Lynne",609,12
"I Wish You Would","DJ Khaled Featuring Kanye West & Rick Ross",25,2
"I Woke Up In Love This Morning","The Partridge Family Starring Shirley Jones Featuring David Cassidy",845,11
"I Won","Future Featuring Kanye West",5,3
"I Won't Back Down","Blake Shelton & Dia Frampton",44,1
"I Won't Back Down","Tom Petty",951,15
"I Won't Be Home Tonight","Tony Carey",97,7
"I Won't Forget You","Jim Reeves",17,3
"I Won't Forget You","Poison",1097,21
"I Won't Give Up","Jana Kramer",26,1
"I Won't Give Up","Jason Mraz",2752,44
"I Won't Give Up On You","TKA",184,8
"I Won't Hold You Back","Toto",1139,17
"I Won't Last A Day Without You","Carpenters",866,12
"I Won't Last A Day Without You","Maureen McGovern",38,5
"I Won't Last A Day Without You/Let Me Be The One","Al Wilson",105,7
"I Won't Let Go","Rascal Flatts",914,20
"I Won't Let You Down","OK Go",30,1
"I Won't Love You Anymore (Sorry)","Lesley Gore",52,3
"I Won't Mention It Again","Ray Price",699,14
"I Won't Stand In Your Way","Stray Cats",579,13
"I Won't Tell","Fat Joe Featuring J. Holiday",666,16
"I Wonder","Brenda Lee",458,8
"I Wonder","Kellie Pickler",104,10
"I Wonder (If Your Love Will Ever Belong To Me)","The Pentagons",46,5
"I Wonder If Heaven Got A Ghetto","2Pac",269,11
"I Wonder If I Take You Home","Lisa Lisa And Clult Jam With Full Force",891,21
"I Wonder What She's Doing Tonight","Barry & The Tamerlanes",591,10
"I Wonder What She's Doing Tonite","Tommy Boyce & Bobby Hart",957,14
"I Wonder Who's Kissing Her Now","Bobby Darin",15,3
"I Wonder Why","Curtis Stigers",1207,20
"I Wonder Why","Dion & The Belmonts",95,2
"I Worry About You","Joe Simon",3,1
"I Would've Loved You Anyway","Trisha Yearwood",678,20
"I Would Be In Love (Anyway)","Frank Sinatra",29,3
"I Would Die 4 U","Prince And The Revolution",1050,16
"I Wouldn't Be A Man","Josh Turner",9,1
"I Wouldn't Beg For Water","Sheena Easton",175,7
"I Wouldn't Have Missed It For The World","Ronnie Milsap",996,17
"I Wouldn't Know (What To Do)","Dinah Washington",8,1
"I Wouldn't Lie","Yarbrough & Peoples",21,4
"I Wouldn't Trade You For The World","The Bachelors",148,6
"I Wouldn't Treat A Dog (The Way You Treated Me)","Bobby Bland",49,7
"I Wouldn't Want To Be Like You","Alan Parsons",583,13
"I Write Sins Not Tragedies","Panic! At The Disco",2519,37
"I Write The Songs","Barry Manilow",1590,20
"I Wrote A Simple Song","Billy Preston",102,5
"I. Crawl","Childish Gambino",15,1
"I.g.y. (what A Beautiful World)","Donald Fagen",722,14
"I.O.I.O.","Bee Gees",7,1
"I.o.u.","Lee Greenwood",330,11
"I.O.U.","Jimmy Dean",193,4
"Ice","Kelly Rowland Featuring Lil Wayne",61,12
"Ice Box","Omarion",1470,21
"Ice Cream","BLACKPINK X Selena Gomez",331,8
"Ice Cream Freeze (Let's Chill)","Hannah Montana",14,1
"Ice Cream Paint Job","Dorrough",953,20
"Ice Cream Song","The Dynamics",231,7
"Ice Ice Baby","Glee Cast",27,1
"Ice Ice Baby","Vanilla Ice",1504,21
"Ice In The Sun","The Status Quo",89,3
"Ice Melts","Drake Featuring Young Thug",55,2
"Ice Tray","Quavo & Lil Yachty",96,6
"Icky Thump","The White Stripes",604,17
"Ida Jane","Fats Domino",19,2
"Idaho","The 4 Seasons",8,2
"IDGAF","Dua Lipa",734,23
"Idlewild Blue (Don'tchu Worry 'Bout Me)","OutKast",1,1
"IDOL","BTS Featuring Nicki Minaj",119,3
"idontwannabeyouanymore","Billie Eilish",9,3
"Iesha","Another Bad Creation",1517,23
"If","Bread",965,12
"If","Janet Jackson",2120,27
"If","The Paragons",72,5
"If A Man Answers","Bobby Darin",403,8
"If A Woman Answers (Hang Up The Phone)","Leroy Van Dyke",339,7
"If Anybody Had A Heart","John Waite",103,6
"If Anyone Falls","Stevie Nicks",880,14
"If Dreams Came True","Pat Boone",604,10
"If Ever I See You Again","Roberta Flack",632,13
"If Ever You're In My Arms Again","Peabo Bryson",1454,25
"If Everyone Cared","Nickelback",1580,22
"If Heaven","Andy Griggs",374,16
"If Heaven Wasn't So Far Away","Justin Moore",759,20
"If I'd Been The One","Thirty Eight Special",962,16
"If I'm A Fool For Loving You","Bobby Wood",89,5
"If I'm Lyin, I'm Flyin","Kodak Black",74,3
"If I Ain't Got You","Alicia Keys",3424,40
"If I Am","Nine Days",94,5
"If I Can't","50 Cent",157,8
"If I Can't Have You","Etta & Harvey",406,12
"If I Can't Have You","L.F.O. (Lyte Funky Ones) (Featuring Kayo)",79,4
"If I Can't Have You","Shawn Mendes",1928,23
"If I Can't Have You","Yvonne Elliman",1572,22
"If I Can Dream","Elvis Presley",892,13
"If I Could","Regina Belle",523,17
"If I Could Build My Whole World Around You","Marvin Gaye & Tammi Terrell",814,11
"If I Could Change (From ""I'm Bout It"")","The Lemonheads",428,15
"If I Could Fly","One Direction",18,1
"If I Could Get You (into my Life)","Gene Cotton",116,8
"If I Could Go!","Angie Martinez Featuring Lil' Mo & Sacario",1489,26
"If I Could Only Be Sure","Nolan Porter",27,4
"If I Could Only Win Your Love","Emmylou Harris",159,5
"If I Could Reach You","The 5th Dimension",1090,15
"If I Could See The Light","The 8th Day",53,4
"If I Could Teach The World","Bone Thugs-N-Harmony",1197,20
"If I Could Turn Back The Hands Of Time","R. Kelly",920,17
"If I Could Turn Back Time","Cher",1487,23
"If I Cried Every Time You Hurt Me","Wanda Jackson",257,8
"If I Didn't Care","Connie Francis",585,11
"If I Didn't Care","The Moments",334,8
"If I Didn't Care","The Platters",310,8
"If I Didn't Have A Dime (To Play The Jukebox)","Gene Pitney",213,7
"If I Didn't Have You","Thompson Square",617,20
"If I Didn't Love You","Chuck Jackson",300,7
"If I Didn't Love You","Jason Aldean & Carrie Underwood",965,14
"If I Die Young","The Band Perry",3528,53
"If I Ever Fall In Love","Shai",2316,27
"If I Ever Lose My Faith In You","Sting",1158,20
"If I Ever Lose This Heaven","AWB",325,8
"If I Fall You're Going Down With Me","Dixie Chicks",724,18
"If I Fell","The Beatles",321,9
"If I Give My Heart To You","Kitty Kallen",599,12
"If I Had A Girl","Rod Lauren",508,10
"If I Had A Hammer","Trini Lopez",1067,14
"If I Had A Hammer (The Hammer Song)","Peter, Paul & Mary",799,12
"If I Had A Rocket Launcher","Bruce Cockburn",28,3
"If I Had Eyes","Jack Johnson",248,11
"If I Had My Wish Tonight","David Lasley",444,10
"If I Had No Loot","Tony Toni Tone",1614,21
"If I Had The Chance","Cynthia",74,7
"If I Had You","Adam Lambert",949,20
"If I Have To Go Away","Jigsaw",20,4
"If I Knew","Nat King Cole",25,2
"If I Lose Myself","OneRepublic",93,5
"If I Lost You","Travis Tritt",107,11
"If I Loved You","Chad & Jeremy",565,9
"If I Never Knew Your Name","Vic Dana",365,12
"If I Never See Your Face Again","Maroon 5 Featuring Rihanna",615,20
"If I Never Stop Loving You","David Kersh",291,16
"If I Only Could","The Rowans",88,4
"If I Only Had Time","Nick DeCaro",6,1
"If I Only Knew","Ozark Mountain Daredevils",178,7
"If I Ruled The World","Nas",757,20
"If I Ruled The World","Tony Bennett",421,9
"If I Said You Have A Beautiful Body Would You Hold It Against Me","Bellamy Brothers",419,11
"If I Say","Kingofthehill",156,6
"If I Say Yes","Five Star",211,11
"If I Should Lose You","Dreamlovers",137,5
"If I Told You","Darius Rucker",356,11
"If I Was Your Girlfriend","Prince",118,6
"If I Was Your Man","Joe",21,2
"If I Were A Boy","Beyonce",1478,20
"If I Were A Carpenter","Bob Seger",174,9
"If I Were A Carpenter","Bobby Darin",844,11
"If I Were A Carpenter","Four Tops",595,10
"If I Were A Carpenter","Johnny Cash & June Carter",391,8
"If I Were A Carpenter...","Leon Russell",90,5
"If I Were Only A Child Again","Curtis Mayfield",80,4
"If I Were You","Lulu",444,11
"If I Were You","Toby Beau",94,4
"If I Were Your Woman","Gladys Knight And The Pips",1093,15
"If It's All Right With You","Dottie West",10,3
"If It's Alright With You","Rose Colored Glass",21,4
"If It's Love","Train",935,20
"If It's Lovin' That You Want","Rihanna",872,20
"If It's Real What I Feel","Jerry Butler Featuring Brenda Lee Eager",139,8
"If It's The Last Thing I Do","Thelma Houston",465,11
"If It Ain't Love","Jason Derulo",157,8
"If It Ain't One Thing...It's Another","Richard ""Dimples"" Fields",388,10
"If It Don't Fit, Don't Force It","Kellee Patterson",137,8
"If It Feels Good, Do It","Ian Lloyd & Stories",42,5
"If It Isn't Love","New Edition",1315,21
"If It Kills Me","Jason Mraz",9,1
"If It Makes You Happy","Sheryl Crow",2199,27
"If It Wasn't For Bad Luck","Ray Charles & Jimmy Lewis",108,6
"If Looks Could Kill","Heart",236,9
"If Looks Could Kill","Player",340,9
"If Love Is In Your Heart","Friend And Lover",19,2
"If Love Must Go","Dobie Gray",97,7
"If Love Should Go","Streets",43,5
"If Loving You Is Wrong I Don't Want To Be Right","Millie Jackson",272,7
"If Mary's There","Brian Hyland",15,2
"If My Friends Could See Me Now","Linda Clifford",200,8
"If My Heart Could Speak","The Manhattans",3,1
"If My Heart Had Wings","Faith Hill",697,18
"If My Pillow Could Talk","Connie Francis",479,9
