,Artists,Name
14221,Glee Cast,Le Jazz Hot
14222,Le Pamplemousse,Le Spank
14223,Loverboy,Lead A Double Life
14224,Amy Grant,Lead Me On
14225,Maxine Nightingale,Lead Me On
14226,Dan Fogelberg,Leader Of The Band
14227,The Detergents,Leader Of The Laundromat
14228,The Shangri-Las,Leader Of The Pack
14229,Twisted Sister,Leader Of The Pack
14230,Lil Uzi Vert Featuring NAV,Leaders
14231,Roy Orbison,Léah
14232,iLoveMemphis,Lean & Dabb
14233,Terror Squad,Lean Back
14234,Bill Haley And His Comets,Lean Jean
14235,Down A.K.A. Kilo,Lean Like A Cholo
14236,Major Lazer & DJ Snake Featuring MO,Lean On
14237,Bill Withers,Lean On Me
14238,Club Nouveau,Lean On Me
14239,Glee Cast,Lean On Me
14240,Kirk Franklin Featuring Mary J. Blige Bono R. Kelly Crystal Lewis & The Family,Lean On Me
14241,Sheryl Crow Kid Rock & Keith Urban,Lean On Me
14242,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Lean Wit It Rock Wit It
14243,Juice WRLD,Lean Wit Me
14244,Herman's Hermits,Leaning On The Lamp Post
14245,Foo Fighters,Learn To Fly
14246,Kesha,Learn To Let Go
14247,Gary Allan,Learning How To Bend
14248,Pink Floyd,Learning To Fly
14249,Tom Petty And The Heartbreakers,Learning To Fly
14250,Stevie Nicks With Don Henley,Leather And Lace
14251,JoJo,Leave (Get Out)
14252,Belinda Carlisle,Leave A Light On
14253,Billy Joel,Leave A Tender Moment Alone
14254,Marshmello X Jonas Brothers,Leave Before You Love Me
14255,Layton Greene Lil Baby City Girls & PnB Rock,Leave Em Alone
14256,Yes,Leave It
14257,Miranda Cosgrove Featuring Drake Bell,Leave It All To Me (iCarly Theme Song)
14258,Baby Washington,Leave Me Alone
14259,Flipp Dinero,Leave Me Alone
14260,NF,Leave Me Alone
14261,Dicky Doo And The Don'ts,Leave Me Alone (Let Me Cry)
14262,Helen Reddy,Leave Me Alone (ruby Red Dress)
14263,Johnny Preston,Leave My Kitten Alone
14264,Little Willie John,Leave My Kitten Alone
14265,Linkin Park,Leave Out All The Rest
14266,Will Young,Leave Right Now
14267,Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open
14268,Sam Hunt,Leave The Night On
14269,The Wreckers,Leave The Pieces
14270,Rod Stewart,Leave Virginia Alone
14271,Young Jeezy Featuring Ne-Yo,Leave You Alone
14272,Sam Smith,Leave Your Lover
14273,Jesse McCartney,Leavin'
14274,The Tony Rich Project,Leavin'
14275,Tony Toni Tone,Leavin'
14276,Patsy Cline,Leavin' On Your Mind
14277,Eminem Featuring Skylar Grey,Leaving Heaven
14278,Eddie Holland,Leaving Here
14279,Deliverance,Leaving L.A.
14280,Sheryl Crow,Leaving Las Vegas
14281,The Independents,Leaving Me
14282,Peter Paul & Mary,Leaving On A Jet Plane
14283,Heltah Skeltah And O.G.C. As The Fab 5,Leflaur Leflah Eshkushka
14284,D'Angelo Featuring Method Man And Redman,Left & Right
14285,alt-J,Left Hand Free
14286,Barbra Streisand,Left In The Dark
14287,Patti Page,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up)
14288,Pet Shop Boys,Left To My Own Devices
14289,Drama,Left Right Left
14290,Millie Jackson,Leftovers
14291,Offset Featuring Travis Scott & 21 Savage,Legacy
14292,The B-52s,Legal Tender
14293,Drake,Legend
14294,Carly Simon,Legend In Your Own Time
14295,Imani Coppola,Legend Of A Cowgirl
14296,Juice WRLD,Legends
14297,Kelsea Ballerini,Legends
14298,Ed Sheeran,Lego House
14299,ZZ Top,Legs
14300,ZZ Top,Leila
14301,Usher Featuring Rick Ross,Lemme See
14302,N*E*R*D & Rihanna,Lemon
14303,Drake Featuring Rick Ross,Lemon Pepper Freestyle
14304,Peter Paul & Mary,Lemon Tree
14305,Trini Lopez,Lemon Tree
14306,Gucci Mane,Lemonade
14307,Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade
14308,Tyler The Creator Featuring 42 Dugg,Lemonhead
14309,Wet Willie,Leona
14310,Bob Dylan,Leopard-Skin Pill-Box Hat
14311,Jack Scott,Leroy
14312,Engelbert Humperdinck,Les Bicyclettes De Belsize
14313,Jo Dee Messina,Lesson In Leavin'
14314,Kaskade Featuring Neon Trees,Lessons In Love
14315,Level 42,Lessons In Love
14316,Tracy Lawrence,Lessons Learned
14317,The Michael Zager Band,Let's All Chant
14318,Eddie Money (with Valerie Carter),Let's Be Lovers Again
14319,Lonestar,Let's Be Us Again
14320,Jermaine Jackson,Let's Be Young Tonight
14321,Bobby Vee,Let's Call It A Day Girl
14322,The Razor's Edge,Let's Call It A Day Girl
14323,Guy,Let's Chill
14324,Philadelphia International All Stars,Let's Clean Up The Ghetto
14325,Chris Montez,Let's Dance
14326,Chris Rea,Let's Dance
14327,David Bowie,Let's Dance
14328,Ola & The Janglers,Let's Dance
14329,West Street Mob,Let's Dance (Make Your Body Move)
14330,The Staple Singers,Let's Do It Again
14331,Burt Reynolds,Let's Do Something Cheap And Superficial
14332,Chubby Checker,Let's Do The Freddie
14333,Peaches & Herb,Let's Fall In Love
14334,Lisa Loeb,Let's Forget About It
14335,T.I.,Let's Get Away
14336,Snoop Dogg,Let's Get Blown
14337,Hannah Montana,Let's Get Crazy
14338,Rupert Holmes,Let's Get Crazy Tonight
14339,Redman Featuring DJ Kool,Let's Get Dirty (I Can't Get In Da Club)
14340,Bow Wow Featuring Baby,Let's Get Down
14341,Three The... G. Dep P. Diddy & Black Rob,Let's Get It
14342,Marvin Gaye,Let's Get It On
14343,Shabba Ranks,Let's Get It On
14344,The Black Eyed Peas,Let's Get It Started
14345,AC/DC,Let's Get It Up
14346,Al Green,Let's Get Married
14347,Jagged Edge,Let's Get Married
14348,Def Leppard,Let's Get Rocked
14349,Jermaine Jackson,Let's Get Serious
14350,Johnny Gill,Let's Get The Mood Right
14351,Hayley Mills and Hayley Mills,Let's Get Together
14352,We Five,Let's Get Together
14353,Gary Puckett And The Union Gap,Let's Give Adam And Eve Another Chance
14354,Calvin Harris Featuring Ne-Yo,Let's Go
14355,Floyd Cramer,Let's Go
14356,The Cars,Let's Go
14357,Trick Daddy Featuring Lil Jon & Twista,Let's Go
14358,Average White Band,Let's Go 'round Again
14359,The Routers,Let's Go (pony)
14360,Hank Ballard And The Midnighters,Let's Go Again (Where We Went Last Night)
14361,Sly Fox,Let's Go All The Way
14362,Bryson Gray Featuring Tyson James & Chandler Crump,Let's Go Brandon
14363,Prince And The Revolution,Let's Go Crazy
14364,Kool & The Gang,Let's Go Dancin' (ooh La La La)
14365,Ray Charles,Let's Go Get Stoned
14366,Nile Rodgers,Let's Go Out Tonight
14367,Neil Sedaka,Let's Go Steady Again
14368,Sam Cooke,Let's Go Steady Again
14369,The Three G's,Let's Go Steady For The Summer
14370,Jodeci,Let's Go Through The Motions (From "Who's The Man?")
14371,Dick Dale and The Del-Tones,Let's Go Trippin'
14372,Diana Ross,Let's Go Up
14373,Wang Chung,Let's Go!
14374,Hank Ballard And The Midnighters,Let's Go Let's Go Let's Go
14375,Earth Wind & Fire,Let's Groove
14376,Barry Manilow,Let's Hang On
14377,The 4 Seasons Featuring the "Sound of Frankie Valli",Let's Hang On!
14378,The Rivieras,Let's Have A Party
14379,Wanda Jackson,Let's Have A Party
14380,Deniece Williams,Let's Hear It For The Boy
14381,Bobby Vinton,Let's Kiss And Make Up
14382,The Isley Brothers,Let's Lay Together (From "Don't Be A Menace...")
14383,Chubby Checker,Let's Limbo Some More
14384,The Grass Roots,Let's Live For Today
14385,Cazz,Let's Live Together
14386,The Road Apples,Let's Live Together
14387,Jay & The Americans,Let's Lock The Door (And Throw Away The Key)
14388,Johnny Mathis,Let's Love
14389,Billy Paul,Let's Make A Baby
14390,Bryan Adams,Let's Make A Night To Remember
14391,Peaches & Herb,Let's Make A Promise
14392,The Illusion,Let's Make Each Other Happy
14393,Faith Hill With Tim McGraw,Let's Make Love
14394,Bobby Rydell,Let's Make Love Tonight
14395,Johnny Nash,Let's Move & Groove (Together)
14396,Tha Dogg Pound Featuring Michel'le,Let's Play House
14397,Raspberries,Let's Pretend
14398,Prince,LET's PRETEND WE'rE MARRIED
14399,The Stylistics,Let's Put It All Together
14400,Freddy Cannon & The Belmonts,Let's Put The Fun Back In Rock N Roll
14401,KISS,Let's Put The X In Sex
14402,Montell Jordan Feat. Master P & Silkk The Shocker,Let's Ride
14403,Richie Rich,Let's Ride
14404,The Game,Let's Ride
14405,Ellison Chase,Let's Rock
14406,The Rolling Stones,Let's Spend The Night Together
14407,Ronnie Dove,Let's Start All Over Again
14408,Joe,Let's Stay Home Tonight
14409,Al Green,Let's Stay Together
14410,Isaac Hayes,Let's Stay Together
14411,Tina Turner,Let's Stay Together
14412,Bobby Comstock,Let's Stomp
14413,Latimore,Let's Straighten It Out
14414,The Alan Parsons Project,Let's Talk About Me
14415,Salt-N-Pepa,Let's Talk About Sex
14416,Bob Luman,Let's Think About Living
14417,Clyde McPhatter,Let's Try Again
14418,New Kids On The Block,Let's Try It Again
14419,Little Eva,Let's Turkey Trot
14420,Chubby Checker,Let's Twist Again
14421,Janet Jackson,Let's Wait Awhile
14422,Mick Jagger,Let's Work
14423,Canned Heat,Let's Work Together
14424,Wilbert Harrison,Let's Work Together (Part 1)
14425,Wings,Let 'em In
14426,James Brown,Let A Man Come In And Do The Popcorn (Part One)
14427,James Brown,Let A Man Come In And Do The Popcorn (Part Two)
14428,Dyke And The Blazers,Let A Woman Be A Woman - Let A Man Be A Man
14429,Sharon Bryant,Let Go
14430,Hootie & The Blowfish,Let Her Cry
14431,Passenger,Let Her Go
14432,John Travolta,Let Her In
14433,Animotion,Let Him Go
14434,Dazz Band,Let It All Blow
14435,Lil Wayne,Let It All Work Out
14436,Jennifer Hudson Featuring The Roots,Let It Be
14437,Joan Baez,Let It Be
14438,Kris Allen,Let It Be
14439,Terry McDermott,Let It Be
14440,Tessanne Chin & Adam Levine,Let It Be
14441,The Beatles,Let It Be
14442,Betty Everett & Jerry Butler,Let It Be Me
14443,Glen Campbell & Bobbie Gentry,Let It Be Me
14444,The Everly Brothers,Let It Be Me
14445,The Sweet Inspirations,Let It Be Me
14446,Willie Nelson,Let It Be Me
14447,Lil Wayne Featuring Travis Scott,Let It Fly
14448,Demi Lovato,Let It Go
14449,DJ Khaled Featuring Justin Bieber & 21 Savage,Let It Go
14450,Idina Menzel,Let It Go
14451,James Bay,Let It Go
14452,Keyshia Cole Featuring Missy Elliott & Lil Kim,Let It Go
14453,Summer Walker,Let It Go
14454,Tim McGraw,Let It Go
14455,Wiz Khalifa Featuring Akon,Let It Go
14456,Ray J,Let It Go (From "Set It Off")
14457,Dave Mason,Let It Go Let It Flow
14458,The Hombres,Let It Out (Let It All Hang Out)
14459,David Nail Featuring Sarah Buxton,Let It Rain
14460,Eric Clapton,Let It Rain
14461,Bachman-Turner Overdrive,Let It Ride
14462,Chuck Berry,Let It Rock
14463,Kevin Rudolf Featuring Lil Wayne,Let It Rock
14464,Santana,Let It Shine
14465,Olivia Newton-John,Let It Shine/He Ain't Heavy...He's My Brother
14466,Kevin Gates,Let It Sing
14467,Boyz II Men Featuring Brian McKnight,Let It Snow
14468,Dean Martin,Let It Snow Let It Snow Let It Snow
14469,Dazz Band,Let It Whip
14470,James & Bobby Purify,Let Love Come Between Us
14471,Lenny Kravitz,Let Love Rule
14472,Pat Green,Let Me
14473,Paul Revere & The Raiders Featuring Mark Lindsay,Let Me
14474,Zayn,Let Me
14475,Tyrone Davis,Let Me Back In
14476,Korona,Let Me Be
14477,The Turtles,Let Me Be
14478,Carla Thomas,Let Me Be Good To You
14479,Dionne Warwick,Let Me Be Lonely
14480,Smokey Robinson,Let Me Be The Clock
14481,The Chi-lites,Let Me Be The Man My Daddy Was
14482,Blessid Union Of Souls,Let Me Be The One
14483,Expose,Let Me Be The One
14484,Five Star,Let Me Be The One
14485,Peaches & Herb,Let Me Be The One
14486,The Paris Sisters,Let Me Be The One
14487,Olivia Newton-John,Let Me Be There
14488,Stacy Lattisaw,Let Me Be Your Angel
14489,Betty Wright,Let Me Be Your Lovemaker
14490,The U-Krew,Let Me Be Your Lover
14491,Brian Hyland,Let Me Belong To You
14492,Eve Featuring Gwen Stefani,Let Me Blow Ya Mind
14493,Timi Yuro,Let Me Call You Sweetheart
14494,DJ Kool,Let Me Clear My Throat
14495,American Flyer,Let Me Down Easy
14496,Billy Currington,Let Me Down Easy
14497,Cornelius Brothers & Sister Rose,Let Me Down Easy
14498,Roger Daltrey,Let Me Down Easy
14499,Alec Benjamin + Alessia Cara,Let Me Down Slowly
14500,Ray Anthony,Let Me Entertain You
14501,Paul Anka,Let Me Get To Know You
14502,3 Doors Down,Let Me Go
14503,Avril Lavigne Featuring Chad Kroeger,Let Me Go
14504,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go
14505,Heaven 17,Let Me Go
14506,Ray Parker Jr.,Let Me Go
14507,The Rings,Let Me Go
14508,The Supremes,Let Me Go The Right Way
14509,Dionne Warwick,Let Me Go To Him
14510,Nicolette Larson & Michael McDonald,Let Me Go Love
14511,Bow Wow Featuring Omarion,Let Me Hold You
14512,Derringer,Let Me In
14513,Eddie Money,Let Me In
14514,The Osmonds,Let Me In
14515,The Sensations,Let Me In
14516,Young Buck,Let Me In
14517,Cam'ron,Let Me Know
14518,Gloria Gaynor,Let Me Know (I Have A Right)
14519,Juice WRLD,Let Me Know (I Wonder Why Freestyle)
14520,Faith Hill,Let Me Let Go
14521,Ariana Grande Featuring Lil Wayne,Let Me Love You
14522,DJ Snake Featuring Justin Bieber,Let Me Love You
14523,Mario,Let Me Love You
14524,Ray Charles,Let Me Love You
14525,Glee Cast,Let Me Love You (Until You Learn To Love Yourself)
14526,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself)
14527,Greg Lake,Let Me Love You Once
14528,Pure Prairie League,Let Me Love You Tonight
14529,The O'Jays,Let Me Make Love To You
14530,Bunny Sigler,Let Me Party With You (Part 1) (Party Party Party)
14531,Andrea Martin,Let Me Return The Favor
14532,Dr. Dre,Let Me Ride
14533,Scarface,Let Me Roll
14534,Cole Swindell,Let Me See Ya Girl
14535,Three Dog Night,Let Me Serenade You
14536,Cugini,Let Me Sleep Alone
14537,Lamont Dozier,Let Me Start Tonite
14538,Earth Wind & Fire,Let Me Talk
14539,Nat King Cole,Let Me Tell You Babe
14540,Jermaine Jackson,Let Me Tickle Your Fancy
14541,Frank Sinatra,Let Me Try Again (Laisse Moi Le Temps)
14542,Pete Townshend,Let My Love Open The Door
14543,Coldplay X Selena Gomez,Let Somebody Go
14544,Lisa Lisa And Cult Jam,Let The Beat Hit 'Em
14545,The Call,Let The Day Begin
14546,Peabo Bryson,Let The Feeling Flow
14547,Fats Domino,Let The Four Winds Blow
14548,Ray Charles,Let The Good Times Roll
14549,Roy Orbison,Let The Good Times Roll
14550,Shirley & Lee,Let The Good Times Roll
14551,Bunny Sigler,Let The Good Times Roll & Feel So Good
14552,Long John Baldry,Let The Heartaches Begin
14553,Billy Bland,Let The Little Girl Dance
14554,BRAVO All Stars,Let The Music Heal Your Soul
14555,Barry White,Let The Music Play
14556,Shannon,Let The Music Play
14557,Kool & The Gang,Let The Music Take Your Mind
14558,Carly Simon,Let The River Run (Theme From "Working Girl")
14559,Dan Hill,Let The Song Last Forever
14560,Billy Dean,Let Them Be Little
14561,Little Willie John,Let Them Talk
14562,Chris Cagle,Let There Be Cowgirls
14563,Sandy Nelson,Let There Be Drums
14564,Orleans,Let There Be Music
14565,The Independents,Let This Be A Lesson To You
14566,Jackie Wilson,Let This Be A Letter (To My Baby)
14567,Nat King Cole,Let True Love Begin
14568,Ashley Parker Angel,Let U Go
14569,Bill Withers,Let Us Love
14570,NF,Let You Down
14571,The Temptations,Let Your Hair Down
14572,Bellamy Brothers,Let Your Love Flow
14573,Bread,Let Your Love Go
14574,Sting,Let Your Soul Be Your Pilot
14575,Brownsville Station,Let Your Yeah Be Yeah
14576,Elvis Presley With The Jordanaires,Let Yourself Go
14577,James Brown And The Famous Flames,Let Yourself Go
14578,The Friends Of Distinction,Let Yourself Go
14579,J. Cole Bas & 6LACK,let.go.my.hand
14580,Prince,Letitgo
14581,El Coco,Lets Get It Together
14582,Loza Alexander,Lets Go Brandon
14583,WhoHeem,Lets Link
14584,Rod Wave,Letter From Houston
14585,Dale Ward,Letter From Sherry
14586,Gladys Knight And The Pips,Letter Full Of Tears
14587,Tom Jones,Letter To Lucille
14588,Brad Paisley,Letter To Me
14589,Meek Mill Featuring Roddy Ricch,Letter To Nipsey
14590,John Michael Montgomery,Letters From Home
14591,Justin Moore,Lettin' The Night Roll
14592,Wings,Letting Go
14593,Sean Kingston Featuring Nicki Minaj,Letting Go (Dutty Love)
14594,twenty one pilots,Level Of Concern
14595,Ciara,Level Up
14596,Avicii,Levels
14597,Nick Jonas,Levels
14598,Hadouken!,Levitate
14599,Dua Lipa,Levitating
14600,Dua Lipa Featuring DaBaby,Levitating
14601,Elton John,Levon
14602,Lorde,Liability
14603,Camila Cabello,Liar
14604,Profyle,Liar
14605,Three Dog Night,Liar
14606,The Castaways,Liar Liar
14607,Billy Ocean,Licence To Chill
14608,Offset,Lick
14609,EST Gee,Lick Back
14610,Roula,Lick It
14611,KISS,Lick It Up
14612,H-Town,Lick U Up
14613,James Brown And The Famous Flames,Licking Stick - Licking Stick (Part 1)
14614,Boz Scaggs,Lido Shuffle
14615,NF,Lie
14616,Brook Benton,Lie To Me
14617,Bon Jovi,Lie To Me/Something For The Pain
14618,EMF,Lies
14619,En Vogue,Lies
14620,J.J. Cale,Lies
14621,Jonathan Butler,Lies
14622,The Knickerbockers,Lies
14623,Thompson Twins,Lies
14624,K-Ci & JoJo,Life
14625,Sly & The Family Stone,Life
14626,Jerry Wallace,Life's A Holiday
14627,Juice WRLD X Halsey,Life's A Mess
14628,Juice WRLD Clever & Post Malone,Life's A Mess II
14629,Joe Walsh,Life's Been Good
14630,The Lafayettes,Life's Too Short
14631,Hannah Montana,Life's What You Make It
14632,Talk Talk,Life's What You Make It
14633,Haddaway,Life (Everybody Needs Somebody To Love)
14634,Daughtry,Life After You
14635,Gary Allan,Life Ain't Always Beautiful
14636,Cleopatra,Life Ain't Easy
14637,Dr. Hook And The Medicine Show,Life Ain't Easy
14638,Climax featuring Sonny Geraci,Life And Breath
14639,Abaco Dream,Life And Death In G & A
14640,Love Childs Afro Cuban Blues Band,Life And Death In G&A
14641,Thomas Rhett,Life Changes
14642,Talking Heads,Life During Wartime (This Ain't No Party...This Ain't No Disco...This Ain't
14643,Graham Parker,Life Gets Better
14644,BTS,Life Goes On
14645,Lil Baby Featuring Gunna & Lil Uzi Vert,Life Goes On
14646,Oliver Tree,Life Goes On
14647,Poison,Life Goes On
14648,Sugarland Featuring Little Big Town & Jake Owen,Life In A Northern Town
14649,The Dream Academy,Life In A Northern Town
14650,Mono,Life In Mono
14651,Howard Jones,Life In One Day
14652,Eagles,Life In The Fast Lane
14653,The Band,Life Is A Carnival
14654,Rascal Flatts,Life Is A Highway
14655,Tom Cochrane,Life Is A Highway
14656,Reunion,Life Is A Rock (But The Radio Rolled Me)
14657,Johnny Mathis,Life Is A Song Worth Singing
14658,Future Featuring Drake,Life Is Good
14659,Justin Bieber,Life Is Worth Living
14660,Shawn Mendes,Life Of The Party
14661,YoungBoy Never Broke Again,Life Support
14662,Elvis Presley,Life/Only Believe
14663,Papa Roach,Lifeline
14664,Jason Derulo Featuring Adam Levine,Lifestyle
14665,Rich Gang Featuring Young Thug & Rich Homie Quan,Lifestyle
14666,Good Charlotte,Lifestyles Of The Rich And Famous
14667,Lost Boyz,Lifestyles Of The Rich And Shameless
14668,Maxwell,Lifetime
14669,Howard Jones,Lift Me Up
14670,Yes,Lift Me Up
14671,CL,LIFTED
14672,Big Sean Featuring Jeremih,Light
14673,Blessid Union Of Souls,Light In Your Eyes
14674,Luke Bryan,Light It Up
14675,Major Lazer Featuring Nyla & Fuse ODG,Light It Up
14676,Marshmello Tyga & Chris Brown,Light It Up
14677,Young Thug,Light It Up
14678,Jose Feliciano,Light My Fire
14679,The Doors,Light My Fire
14680,Amii Stewart,Light My Fire/137 Disco Heaven
14681,Dolly Parton,Light Of A Clear Blue Morning
14682,The Barbusters (Joan Jett And The Blackhearts),Light Of Day
14683,Peggy Lee,Light Of Love
14684,David Cook,Light On
14685,The 5th Dimension,Light Sings
14686,Jefferson Starship,Light The Sky On Fire
14687,Glee Cast,Light Up The World
14688,Hamilton Joe Frank & Dennison,Light Up The World With Sunshine
14689,Busta Rhymes,Light Your A** On Fire
14690,Bad Meets Evil Featuring Bruno Mars,Lighters
14691,Lil' Kim,Lighters Up
14692,Lou Christie,Lightnin' Strikes
14693,Nancy Sinatra,Lightning's Girl
14694,Chad Brock,Lightning Does The Work
14695,Ellie Goulding,Lights
14696,Journey,Lights
14697,Yellowcard,Lights And Sounds
14698,Jason Aldean,Lights Come On
14699,MAX Featuring gnash,Lights Down Low
14700,Peter Wolf,Lights Out
14701,Harry Styles,Lights Up
14702,Mr. Cheeks,Lights Camera Action!
14703,DaBaby Featuring Future & jetsonmade,LIGHTSKIN SH*T
14704,Len Barry,Like A Baby
14705,Ciara,Like A Boy
14706,Julie Rogers,Like A Child
14707,Noel,Like A Child
14708,Randy Houser,Like A Cowboy
14709,Far*East Movement Featuring Cataracs & Dev,Like A G6
14710,Lady A,Like A Lady
14711,David Banner Featuring Lil' Flip,Like A Pimp
14712,Glee Cast Featuring Jonathan Groff,Like A Prayer
14713,Madonna,Like A Prayer
14714,Bob Seger,Like A Rock
14715,Kane Brown,Like A Rodeo
14716,Bob Dylan,Like A Rolling Stone
14717,John Denver,Like A Sad Song
14718,Corinne Bailey Rae,Like A Star
14719,Audioslave,Like A Stone
14720,Gene Cotton,Like A Sunday In Salem (The Amos & Andy Song)
14721,Lana Cantrell,Like A Sunday Morning
14722,"Weird Al" Yankovic,Like A Surgeon
14723,Glee Cast,Like A Virgin
14724,Madonna,Like A Virgin
14725,The Tony Rich Project,Like A Woman
14726,Eric Church,Like A Wrecking Ball
14727,Scott McKenzie,Like An Old Time Movie
14728,The Fuzz,Like An Open Door
14729,The Reflections,Like Columbus Did
14730,Berlin,Like Flames
14731,Sean Paul,Like Glue
14732,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose You
14733,Sam Smith,Like I Can
14734,For Real,Like I Do
14735,Edd Byrnes and Friend,Like I Love You
14736,Justin Timberlake,Like I Love You
14737,Brett Young,Like I Loved You
14738,Giveon,Like I Want You
14739,Zayn,Like I Would
14740,Jonas Brothers,Like It's Christmas
14741,Eric Church,Like Jesus Does
14742,Lauren Alaina,Like My Mother Does
14743,Thirty Eight Special,Like No Other Night
14744,Alan Jackson,Like Red On A Rose
14745,The Everly Brothers,Like Strangers
14746,Doja Cat Featuring Gucci Mane,Like That
14747,Kris Wu,Like That
14748,The Rocky Fellers,Like The Big Guys Do
14749,Melissa Etheridge,Like The Way I Do/If I Wanted To
14750,10000 Maniacs,Like The Weather
14751,East L.A. Car Pool,Like They Say In L.A.
14752,Kelly Rowland Featuring Eve,Like This
14753,Mims,Like This
14754,Spanky And Our Gang,Like To Get To Know You
14755,Howard Jones,Like To Get To Know You Well
14756,Eminem,Like Toy Soldiers
14757,Faith Hill,Like We Never Loved At All
14758,A Rocket To The Moon,Like We Used To
14759,Aly & AJ,Like Whoa
14760,Bow Wow Featuring Ciara,Like You
14761,Daddy Yankee,Like You
14762,Alicia Keys,Like You'll Never See Me Again
14763,Andre Previn With David Rose,Like Young
14764,Paul Revere & The Raiders,Like Long Hair
14765,Leslie Carter,Like Wow!
14766,Sam The Sham and the Pharaohs,Lil' Red Riding Hood
14767,Young Thug,Lil Baby
14768,Nelly & Florida Georgia Line,Lil Bit
14769,Usher Featuring Nicki Minaj,Lil Freak
14770,YoungBoy Never Broke Again,Lil Top
14771,Al Martino,Lili Marlene
14772,David A. Stewart Introducing Candy Dulfer,Lily Was Here
14773,The Capris,Limbo
14774,The Champs,Limbo Dance
14775,Chubby Checker,Limbo Rock
14776,The Champs,Limbo Rock
14777,Mr. Acker Bilk,Limelight
14778,Rush,Limelight
14779,Adam Wade,Linda
14780,Jan & Dean,Linda
14781,Ray Sharpe,Linda Lu
14782,Conway Twitty,Linda On My Mind
14783,Buddy Knox,Ling-Ting-Tong
14784,The Cranberries,Linger
14785,J. Cole,Lion King On Ice
14786,Jazmine Sullivan,Lions Tigers & Bears
14787,Lil Mama,Lip Gloss
14788,Len Barry,Lip Sync (To The Tongue Twisters)
14789,Meghan Trainor,Lips Are Movin
14790,Hinder,Lips Of An Angel
14791,Jack Ingram,Lips Of An Angel
14792,Michel Polnareff,Lipstick
14793,Suzi Quatro,Lipstick
14794,Connie Francis,Lipstick On Your Collar
14795,Benny Spellman,Lipstick Traces (On A Cigarette)
14796,The O'Jays,Lipstick Traces (On A Cigarette)
14797,O-Town,Liquid Dreams
14798,Genius/GZA,Liquid Swords
14799,Chris Brown,Liquor
14800,Ferrante & Teicher,Lisa
14801,Jeanne Black,Lisa
14802,Blood Sweat & Tears,Lisa Listen To Me
14803,Beyonce,Listen
14804,Collective Soul,Listen
14805,Glee Cast,Listen
14806,Billie Eilish,Listen Before I Go
14807,Brian Auger & The Trinity,Listen Here
14808,Eddie Harris,Listen Here
14809,INXS,Listen Like Thieves
14810,Johnny Mathis,Listen Lonely Girl
14811,Ini Kamoze,Listen Me Tic (Woyoi)
14812,Herman's Hermits,Listen People
14813,Tom Petty,Listen To Her Heart
14814,The Monkees,Listen To The Band
14815,Ozo,Listen To The Buddha
14816,The Doobie Brothers,Listen To The Music
14817,Wings,Listen To What The Man Said
14818,D.H.T.,Listen To Your Heart
14819,Roxette,Listen To Your Heart
14820,Ray Charles,Listen They're Playing My Song
14821,Nirvana,Lithium
14822,Big Sean Featuring Travis Scott,Lithuania
14823,Vic Dana,Little Altar Boy
14824,Leapy Lee,Little Arrows
14825,David Guetta Featuring Taio Cruz & Ludacris,Little Bad Girl
14826,James Gilreath,Little Band Of Gold
14827,The Dixie Cups,Little Bell
14828,Annie Lennox,Little Bird
14829,The Music Explosion,Little Bit O' Soul
14830,Keith Urban,Little Bit Of Everything
14831,Craig Morgan,Little Bit Of Life
14832,Dwight Twilley,Little Bit Of Love
14833,Nigel Olsson,Little Bit Of Soap
14834,Chase Bryant,Little Bit Of You
14835,Alan Jackson,Little Bitty
14836,Bobby Rydell,Little Bitty Girl
14837,Clyde McPhatter,Little Bitty Pretty One
14838,Frankie Lymon,Little Bitty Pretty One
14839,Jackson 5,Little Bitty Pretty One
14840,Jimmy Dean,Little Black Book
14841,Pete Seeger,Little Boxes
14842,The Womenfolk,Little Boxes
14843,The Crystals,Little Boy
14844,The 4 Seasons,Little Boy (In Grown Up Clothes)
14845,Huelyn Duvall,Little Boy Blue
14846,Johnny Burnette,Little Boy Sad
14847,David Seville,Little Brass Band
14848,Robert Plant,Little By Little
14849,Billy J. Kramer With The Dakotas,Little Children
14850,Jerry Wallace,Little Coco Palm
14851,Sheila,Little Darlin'
14852,The Doobie Brothers,Little Darling (i Need You)
14853,Marvin Gaye,Little Darling I Need You
14854,The Beach Boys,Little Deuce Coupe
14855,Neil Sedaka,Little Devil
14856,Dion,Little Diane
14857,The Mickey Mozart Quintet,Little Dipper
14858,The Rivieras,Little Donna
14859,Pentatonix,Little Drummer Boy
14860,Joe Perkins,Little Eeefin Annie
14861,The Coasters,Little Egypt (Ying-Yang)
14862,White Lion,Little Fighter
14863,The Yardbirds,Little Games
14864,Ritchie Valens,Little Girl
14865,Syndicate Of Sound,Little Girl
14866,Donna Fargo,Little Girl Gone
14867,SHeDAISY,Little Good-Byes
